Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLabel,JobSatisfactionLabel,EnvironmentSatisfactionLabel,RelationshipSatisfactionLabel,WorkLifeBalanceLabel,JobInvolvementLabel,PerformanceRatingLabel,income_percentile_in_level,AttritionRiskScore,RiskTier,AgeBand,TenureBand
39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,445,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Yes,18,3,1,0,12,3,2,1,0,0,0,College,3-High,4-Very High,1-Low,2-Good,High,Excellent,0.4653558052434457,59.1,High,36-45,1-<1 yr
33,No,Travel_Frequently,508,Sales,10,3,Marketing,446,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,No,14,3,3,0,9,6,2,7,7,0,1,Bachelor,4-Very High,2-Medium,3-High,2-Good,Medium,Excellent,0.2958801498127341,34.5,Medium,26-35,4-5-10 yrs
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,447,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,No,11,3,2,1,21,2,3,3,2,1,1,Doctor,3-High,4-Very High,2-Medium,3-Better,High,Excellent,0.10144927536231885,35.5,Medium,46-55,2-1-3 yrs
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,No,11,3,2,1,9,3,4,9,7,0,0,Master,3-High,3-High,2-Medium,4-Best,Medium,Excellent,0.47191011235955055,30.3,Medium,36-45,4-5-10 yrs
27,No,Non-Travel,210,Sales,1,1,Marketing,449,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Yes,13,3,4,1,6,0,3,5,4,1,4,Below College,2-Medium,3-High,4-Very High,3-Better,High,Excellent,0.7696629213483146,58.8,High,26-35,3-3-5 yrs
54,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,450,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,No,12,3,4,0,20,4,2,4,3,0,3,Master,3-High,4-Very High,4-Very High,2-Good,High,Excellent,0.34831460674157305,35.3,Medium,46-55,3-3-5 yrs
43,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,451,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,No,16,3,1,1,10,1,2,1,0,0,0,Bachelor,1-Low,3-High,1-Low,2-Good,High,Excellent,0.5091743119266054,43.7,Medium,36-45,1-<1 yr
45,No,Travel_Rarely,549,Research & Development,8,4,Other,452,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,No,14,3,1,2,12,3,3,10,9,9,8,Master,4-Very High,4-Very High,1-Low,3-Better,High,Excellent,0.052434456928838954,43.0,Medium,36-45,4-5-10 yrs
40,No,Travel_Rarely,1124,Sales,1,2,Medical,453,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Yes,22,4,3,3,6,2,2,4,3,0,2,College,4-Very High,2-Medium,3-High,2-Good,Low,Outstanding,0.9232209737827716,57.0,High,36-45,3-3-5 yrs
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,454,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Yes,11,3,4,0,7,4,2,7,7,0,7,Master,1-Low,2-Medium,4-Very High,2-Good,Low,Excellent,0.14548802946593,79.8,Critical,26-35,4-5-10 yrs
29,No,Travel_Rarely,738,Research & Development,9,5,Other,455,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,No,17,3,3,0,4,2,3,3,2,2,2,Doctor,4-Very High,2-Medium,3-High,3-Better,Medium,Excellent,0.9355432780847146,27.4,Low,26-35,2-1-3 yrs
30,No,Travel_Rarely,570,Sales,5,3,Marketing,456,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,No,13,3,3,3,10,2,3,10,9,1,2,Bachelor,3-High,4-Very High,3-High,3-Better,Medium,Excellent,0.704119850187266,33.2,Medium,26-35,4-5-10 yrs
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,458,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,No,18,3,1,1,8,3,3,8,7,0,7,Master,2-Medium,2-Medium,1-Low,3-Better,High,Excellent,0.7359550561797753,32.6,Medium,26-35,4-5-10 yrs
37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,No,16,3,3,2,8,2,2,6,2,0,4,College,4-Very High,4-Very High,3-High,2-Good,High,Excellent,0.7659176029962547,26.1,Low,36-45,4-5-10 yrs
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,461,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Yes,14,3,2,1,12,3,3,11,10,2,9,College,4-Very High,3-High,2-Medium,3-Better,Medium,Excellent,0.8394495412844036,53.4,High,36-45,5-10+ yrs
31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Yes,14,3,3,0,11,2,2,11,9,4,10,Master,4-Very High,3-High,3-High,2-Good,High,Excellent,0.04128440366972477,64.3,High,26-35,5-10+ yrs
29,No,Travel_Rarely,144,Sales,10,1,Marketing,463,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,2,7,2,3,7,7,1,7,Below College,2-Medium,4-Very High,1-Low,3-Better,Medium,Excellent,0.9438202247191011,60.8,High,26-35,4-5-10 yrs
35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,464,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,No,13,3,4,0,17,5,3,16,6,0,13,Master,2-Medium,3-High,4-Very High,3-Better,High,Excellent,0.22477064220183487,37.8,Medium,26-35,5-10+ yrs
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,No,12,3,3,2,4,2,2,4,2,0,2,Below College,4-Very High,3-High,3-High,2-Good,High,Excellent,0.6482504604051565,27.3,Low,18-25,3-3-5 yrs
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,466,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Yes,15,3,4,0,8,3,3,5,4,1,2,Bachelor,2-Medium,4-Very High,4-Very High,3-Better,Medium,Excellent,0.6947565543071161,63.3,High,36-45,3-3-5 yrs
47,No,Travel_Frequently,1309,Sales,4,1,Medical,467,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,No,19,3,1,0,5,3,3,0,0,0,0,Below College,3-High,2-Medium,1-Low,3-Better,High,Excellent,0.026217228464419477,34.7,Medium,46-55,1-<1 yr
42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,468,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0,Doctor,4-Very High,1-Low,2-Medium,3-Better,High,Excellent,0.46226415094339623,25.4,Low,36-45,1-<1 yr
29,No,Non-Travel,746,Sales,2,3,Life Sciences,469,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,No,14,3,1,1,4,3,2,4,3,0,2,Bachelor,3-High,4-Very High,1-Low,2-Good,High,Excellent,0.2883895131086142,35.9,Medium,26-35,3-3-5 yrs
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,470,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Yes,11,3,3,1,4,5,3,3,2,1,0,Below College,3-High,3-High,3-High,3-Better,High,Excellent,0.5230202578268877,56.3,High,36-45,2-1-3 yrs
32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,471,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,3,1,8,4,3,8,0,0,7,Bachelor,2-Medium,3-High,3-High,3-Better,High,Excellent,0.3149171270718232,36.9,Medium,26-35,4-5-10 yrs
48,No,Travel_Rarely,530,Sales,29,1,Medical,473,1,Female,91,3,3,Manager,3,Married,12504,23978,3,No,21,4,2,1,15,3,1,0,0,0,0,Below College,3-High,1-Low,2-Medium,1-Bad,High,Outstanding,0.9128440366972477,33.4,Medium,46-55,1-<1 yr
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Yes,13,3,1,2,13,2,3,7,7,6,7,Bachelor,1-Low,3-High,1-Low,3-Better,Very High,Excellent,0.6835205992509363,68.4,High,36-45,4-5-10 yrs
30,No,Non-Travel,641,Sales,25,2,Technical Degree,475,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,Yes,12,3,2,1,4,2,4,2,2,2,2,College,3-High,4-Very High,2-Medium,4-Best,High,Excellent,0.31273408239700373,56.1,High,26-35,2-1-3 yrs
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,476,3,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,No,17,3,2,1,8,3,3,8,7,7,7,Bachelor,3-High,3-High,2-Medium,3-Better,High,Excellent,0.4812734082397004,40.7,Medium,26-35,4-5-10 yrs
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,477,1,Male,98,2,2,Healthcare Representative,4,Single,6781,17078,3,No,23,4,2,0,14,6,3,1,0,0,0,Master,4-Very High,1-Low,2-Medium,3-Better,Medium,Outstanding,0.8707865168539326,25.0,Low,36-45,1-<1 yr
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,478,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2,Below College,2-Medium,1-Low,3-High,3-Better,Medium,Excellent,0.17495395948434622,68.5,High,18-25,2-1-3 yrs
36,No,Non-Travel,845,Sales,1,5,Medical,479,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,No,15,3,2,0,7,6,3,1,0,0,0,Doctor,4-Very High,4-Very High,2-Medium,3-Better,High,Excellent,0.848314606741573,21.5,Low,36-45,1-<1 yr
36,No,Travel_Frequently,541,Sales,3,4,Medical,481,1,Male,48,2,3,Sales Executive,4,Married,9699,7246,4,No,11,3,1,1,16,2,3,13,9,1,12,Master,4-Very High,1-Low,1-Low,3-Better,Medium,Excellent,0.44954128440366975,30.8,Medium,36-45,5-10+ yrs
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,482,4,Male,88,3,2,Healthcare Representative,3,Married,6755,2967,2,No,11,3,3,0,15,2,3,3,2,1,2,Master,3-High,4-Very High,3-High,3-Better,High,Excellent,0.8689138576779026,27.8,Low,56-65,2-1-3 yrs
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,483,4,Female,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Yes,13,3,3,1,10,3,3,7,7,1,7,Master,3-High,4-Very High,3-High,3-Better,Very High,Excellent,0.19521178637200737,55.8,High,36-45,4-5-10 yrs
21,No,Non-Travel,895,Sales,9,2,Medical,484,1,Male,39,3,1,Sales Representative,4,Single,2610,2851,1,No,24,4,3,0,3,3,2,3,2,2,2,College,4-Very High,1-Low,3-High,2-Good,High,Outstanding,0.46593001841620624,32.1,Medium,18-25,2-1-3 yrs
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,485,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1,Yes,13,3,2,0,1,2,3,1,0,0,0,Bachelor,3-High,4-Very High,2-Medium,3-Better,High,Excellent,0.6224677716390423,53.8,High,26-35,1-<1 yr
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,486,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,No,20,4,2,1,17,3,3,5,4,0,3,Bachelor,1-Low,3-High,2-Medium,3-Better,High,Outstanding,0.8139963167587477,36.9,Medium,36-45,3-3-5 yrs
46,No,Non-Travel,1144,Research & Development,7,4,Medical,487,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,2,No,14,3,3,0,7,2,4,1,0,0,0,Master,3-High,3-High,3-High,4-Best,High,Excellent,0.4737827715355805,26.5,Low,46-55,1-<1 yr
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,488,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,No,18,3,3,0,8,5,3,8,7,7,7,Bachelor,2-Medium,1-Low,3-High,3-Better,High,Excellent,0.9719101123595506,40.8,Medium,36-45,4-5-10 yrs
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,No,15,3,4,0,20,2,3,4,3,1,3,Bachelor,4-Very High,4-Very High,4-Very High,3-Better,Medium,Excellent,0.6651376146788991,28.6,Low,46-55,3-3-5 yrs
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,492,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,Yes,12,3,1,2,8,6,3,6,4,1,0,College,3-High,3-High,1-Low,3-Better,Medium,Excellent,0.7734082397003745,57.5,High,36-45,4-5-10 yrs
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,493,3,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,Yes,16,3,4,0,3,5,3,2,2,2,2,Master,2-Medium,3-High,4-Very High,3-Better,Medium,Excellent,0.49079189686924496,66.8,High,26-35,2-1-3 yrs
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,494,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,No,15,3,4,0,1,0,3,1,0,0,0,Bachelor,2-Medium,3-High,4-Very High,3-Better,Very High,Excellent,0.5377532228360957,30.9,Medium,18-25,1-<1 yr
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,495,4,Male,54,3,1,Research Scientist,4,Single,2201,18168,9,No,16,3,4,0,6,4,3,3,2,1,2,Bachelor,4-Very High,4-Very High,4-Very High,3-Better,High,Excellent,0.1878453038674033,29.6,Low,26-35,2-1-3 yrs
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,496,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,No,19,3,3,0,10,5,3,1,1,0,0,Master,2-Medium,3-High,3-High,3-Better,Medium,Excellent,0.8183520599250936,35.6,Medium,26-35,1-<1 yr
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,497,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4,College,2-Medium,4-Very High,2-Medium,3-Better,High,Excellent,0.8987108655616943,31.0,Medium,26-35,3-3-5 yrs
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,498,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,No,16,3,4,0,7,1,3,7,5,0,7,Master,4-Very High,2-Medium,4-Very High,3-Better,High,Excellent,0.4700374531835206,25.3,Low,26-35,4-5-10 yrs
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,499,2,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,No,24,4,3,0,26,2,3,5,2,0,0,Bachelor,3-High,2-Medium,3-High,3-Better,Medium,Outstanding,0.8073394495412844,30.7,Medium,46-55,3-3-5 yrs
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,500,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,No,11,3,3,1,18,2,2,7,7,0,7,College,4-Very High,3-High,3-High,2-Good,High,Excellent,0.36891385767790263,30.1,Medium,46-55,4-5-10 yrs
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,501,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,No,13,3,2,1,6,3,3,2,2,2,2,Bachelor,3-High,4-Very High,2-Medium,3-Better,High,Excellent,0.4198895027624309,33.8,Medium,36-45,2-1-3 yrs
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,502,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Yes,13,3,2,0,9,3,2,5,2,0,4,Bachelor,4-Very High,1-Low,2-Medium,2-Good,Very High,Excellent,0.4859550561797753,50.1,High,26-35,3-3-5 yrs
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,505,3,Female,97,3,4,Manager,4,Single,16659,23258,2,Yes,13,3,3,0,30,2,3,5,4,1,2,Bachelor,4-Very High,3-High,3-High,3-Better,High,Excellent,0.6226415094339622,50.3,High,46-55,3-3-5 yrs
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3,Master,3-High,4-Very High,4-Very High,4-Best,High,Excellent,0.14794007490636704,54.8,High,18-25,3-3-5 yrs
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,508,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,No,18,3,1,1,1,3,3,1,0,0,0,Below College,2-Medium,3-High,1-Low,3-Better,High,Excellent,0.3885819521178637,36.1,Medium,26-35,1-<1 yr
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,510,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,No,22,4,3,0,7,2,3,6,4,0,4,Below College,1-Low,3-High,3-High,3-Better,High,Outstanding,0.7237569060773481,37.8,Medium,26-35,4-5-10 yrs
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,511,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,No,13,3,4,1,2,1,3,2,1,1,2,Bachelor,2-Medium,1-Low,4-Very High,3-Better,High,Excellent,0.21178637200736647,39.4,Medium,18-25,2-1-3 yrs
36,No,Travel_Rarely,164,Sales,2,2,Medical,513,2,Male,61,2,3,Sales Executive,3,Married,7596,3809,1,No,13,3,2,2,10,2,3,10,9,9,0,College,3-High,2-Medium,2-Medium,3-Better,Medium,Excellent,0.12844036697247707,51.0,High,36-45,4-5-10 yrs
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,514,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,0,Bachelor,4-Very High,3-High,3-High,3-Better,High,Outstanding,0.23388581952117865,52.7,High,26-35,1-<1 yr
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,No,12,3,3,1,18,2,2,18,7,12,17,Bachelor,1-Low,4-Very High,3-High,2-Good,High,Excellent,0.7071823204419889,56.7,High,36-45,5-10+ yrs
40,No,Travel_Rarely,759,Sales,2,2,Marketing,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,No,12,3,3,2,8,5,3,5,4,1,3,College,2-Medium,4-Very High,3-High,3-Better,High,Excellent,0.6254681647940075,35.2,Medium,36-45,3-3-5 yrs
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,No,16,3,2,1,8,5,3,5,2,1,2,Master,1-Low,2-Medium,2-Medium,3-Better,High,Excellent,0.44567219152854515,42.0,Medium,36-45,3-3-5 yrs
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,518,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1,Master,2-Medium,3-High,4-Very High,2-Good,High,Excellent,0.12827715355805244,67.5,High,36-45,1-<1 yr
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,520,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9,Bachelor,2-Medium,1-Low,3-High,3-Better,Medium,Excellent,0.3490566037735849,44.8,Medium,36-45,5-10+ yrs
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,521,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0,Bachelor,3-High,2-Medium,2-Medium,3-Better,Medium,Outstanding,0.04119850187265917,38.3,Medium,36-45,1-<1 yr
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,522,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2,College,1-Low,1-Low,3-High,2-Good,High,Excellent,0.6086956521739131,44.2,Medium,46-55,3-3-5 yrs
34,No,Non-Travel,1381,Sales,4,4,Marketing,523,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,9,No,15,3,1,1,6,3,3,3,2,1,2,Master,3-High,3-High,1-Low,3-Better,High,Excellent,0.8164794007490637,28.3,Low,26-35,2-1-3 yrs
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,524,2,Female,31,3,2,Manufacturing Director,1,Married,4306,4156,1,No,12,3,2,1,13,5,1,13,10,3,12,College,1-Low,2-Medium,2-Medium,1-Bad,High,Excellent,0.16760299625468164,55.3,High,26-35,5-10+ yrs
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,525,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,No,20,4,1,1,8,1,3,3,2,1,2,Bachelor,4-Very High,4-Very High,1-Low,3-Better,High,Outstanding,0.214548802946593,29.4,Low,36-45,2-1-3 yrs
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2,Master,3-High,3-High,4-Very High,3-Better,High,Excellent,0.2397003745318352,57.6,High,36-45,3-3-5 yrs
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,527,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3,College,4-Very High,2-Medium,2-Medium,3-Better,Medium,Excellent,0.22846441947565543,58.0,High,18-25,3-3-5 yrs
37,No,Non-Travel,1063,Research & Development,25,5,Medical,529,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7,Doctor,3-High,2-Medium,1-Low,3-Better,High,Excellent,0.21910112359550563,72.8,Critical,36-45,5-10+ yrs
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,530,4,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,No,12,3,3,1,4,3,3,4,2,3,2,College,1-Low,4-Very High,3-High,3-Better,Medium,Excellent,0.19889502762430938,51.3,High,26-35,3-3-5 yrs
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,531,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6,Below College,3-High,2-Medium,3-High,3-Better,High,Excellent,0.4782608695652174,56.7,High,36-45,5-10+ yrs
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,532,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,7,Bachelor,1-Low,3-High,4-Very High,2-Good,Very High,Excellent,0.11320754716981132,54.4,High,56-65,4-5-10 yrs
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,533,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,No,11,3,2,0,6,6,3,5,4,4,4,Bachelor,3-High,2-Medium,2-Medium,3-Better,High,Excellent,0.8277153558052435,32.7,Medium,26-35,3-3-5 yrs
41,No,Travel_Rarely,645,Sales,1,3,Marketing,534,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7,Bachelor,1-Low,2-Medium,3-High,3-Better,Very High,Excellent,0.25688073394495414,38.7,Medium,36-45,4-5-10 yrs
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,No,12,3,4,1,10,2,3,10,0,1,8,College,1-Low,3-High,4-Very High,3-Better,High,Excellent,0.25842696629213485,43.9,Medium,26-35,4-5-10 yrs
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,No,13,3,3,1,6,5,3,2,2,0,2,Bachelor,1-Low,1-Low,3-High,3-Better,High,Excellent,0.9429097605893186,35.6,Medium,18-25,2-1-3 yrs
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,543,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4,Bachelor,3-High,4-Very High,3-High,3-Better,Medium,Excellent,0.2018348623853211,61.7,High,46-55,3-3-5 yrs
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,544,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,No,21,4,4,2,8,3,2,2,2,0,2,College,4-Very High,1-Low,4-Very High,2-Good,High,Outstanding,0.4861878453038674,28.9,Low,36-45,2-1-3 yrs
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,546,4,Female,30,3,4,Manager,4,Married,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4,College,4-Very High,4-Very High,4-Very High,1-Bad,High,Excellent,0.5754716981132075,33.2,Medium,46-55,3-3-5 yrs
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,547,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2,College,3-High,1-Low,2-Medium,3-Better,High,Excellent,0.2565543071161049,32.4,Medium,36-45,3-3-5 yrs
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,548,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2,Bachelor,4-Very High,3-High,3-High,3-Better,Low,Outstanding,0.702247191011236,30.5,Medium,26-35,3-3-5 yrs
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,549,1,Female,41,3,5,Manager,1,Married,19566,3854,5,No,11,3,4,0,33,5,1,29,8,11,10,Bachelor,1-Low,1-Low,4-Very High,1-Bad,High,Excellent,0.7391304347826086,60.1,High,56-65,5-10+ yrs
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8,Bachelor,3-High,3-High,3-High,2-Good,High,Excellent,0.33707865168539325,35.4,Medium,46-55,4-5-10 yrs
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4,Master,4-Very High,4-Very High,4-Very High,4-Best,Medium,Excellent,0.24157303370786518,27.6,Low,36-45,4-5-10 yrs
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,554,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4,Below College,2-Medium,1-Low,2-Medium,3-Better,High,Excellent,0.7476979742173112,59.0,High,18-25,3-3-5 yrs
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0,College,3-High,4-Very High,4-Very High,2-Good,Low,Excellent,0.3001841620626151,44.7,Medium,26-35,2-1-3 yrs
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0,College,4-Very High,4-Very High,3-High,3-Better,High,Outstanding,0.049723756906077346,54.5,High,36-45,1-<1 yr
